target,platform,amount,bribe_platform
0x9965713498c74aee49cEf80B2195461F188F24f8,balancer,893.0922,hiddenhand
0x9965713498c74aee49cEf80B2195461F188F24f8,aura,0.0000,hiddenhand
0xd75026F8723b94d9a360A282080492d905c6A558,balancer,0.0000,hiddenhand
0xd75026F8723b94d9a360A282080492d905c6A558,aura,1484.9349,hiddenhand
0x5B5BAD6A124C5f45b4289908bA15Ff0047928648,balancer,1042.4235,hiddenhand
0x5B5BAD6A124C5f45b4289908bA15Ff0047928648,aura,0.0000,hiddenhand
0x6A2C2d4502335638d2c2f40f0171253fb2c2db88,balancer,1183.6878,hiddenhand
0x6A2C2d4502335638d2c2f40f0171253fb2c2db88,aura,0.0000,hiddenhand
0xf8A95653CC7ee59AfA2304DcC518c431a15C292C,balancer,406.5995,hiddenhand
0xf8A95653CC7ee59AfA2304DcC518c431a15C292C,aura,1110.7204,hiddenhand
0xF22c4C0093a13c193A3162d5B50bC92a8ECB58ef,balancer,301.2505,hiddenhand
0xF22c4C0093a13c193A3162d5B50bC92a8ECB58ef,aura,1322.7727,hiddenhand
0x8135d6AbFd42707A87A7b94c5CFA3529f9b432AD,balancer,765.1429,hiddenhand
0x8135d6AbFd42707A87A7b94c5CFA3529f9b432AD,aura,0.0000,hiddenhand
0x1e916950A659Da9813EE34479BFf04C732E03deb,balancer,260.4855,hiddenhand
0x1e916950A659Da9813EE34479BFf04C732E03deb,aura,0.0000,hiddenhand
0xf8C85bd74FeE26831336B51A90587145391a27Ba,balancer,923.5226,hiddenhand
0xf8C85bd74FeE26831336B51A90587145391a27Ba,aura,0.0000,hiddenhand
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,balancer,192.3560,hiddenhand
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,aura,2032.2260,hiddenhand
0xf697535848B535900c76f70F1e36EC3985D27862,balancer,0.0000,hiddenhand
0xf697535848B535900c76f70F1e36EC3985D27862,aura,2992.8490,hiddenhand
0x79eF6103A513951a3b25743DB509E267685726B7,balancer,5882.9059,hiddenhand
0x79eF6103A513951a3b25743DB509E267685726B7,aura,0.0000,hiddenhand
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,balancer,235.1435,hiddenhand
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,aura,1213.3122,hiddenhand
0x0021e01B9fAb840567a8291b864fF783894EabC6,balancer,0.0000,hiddenhand
0x0021e01B9fAb840567a8291b864fF783894EabC6,aura,4943.6902,hiddenhand
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,balancer,278.0561,hiddenhand
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,aura,1890.6217,hiddenhand
0x253ED65fff980AEE7E94a0dC57BE304426048b35,balancer,570.8471,hiddenhand
0x253ED65fff980AEE7E94a0dC57BE304426048b35,aura,0.0000,hiddenhand
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,balancer,0.0000,hiddenhand
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,aura,9591.2173,hiddenhand
0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f,payment,25796.65710717859716177212108,
0xea06e1b4259730724885a39CE3ca670eFB020E26,beets,314.9591646452094538011761272,
