Chain,Label,Gauge Address,Allocation %,
Mainnet,sDAI/4Pool,0xf6a7ad46b00300344c7d4739c0518db70e722dc4,10.00%,Core Liquidity
Mainnet,GHO/USDC/USDT,0xf720e9137baa9c7612e6ca59149a5057ab320cfa ,12.00%,
Arbitrum,sFRAX/4Pool,0x62a82fe26e21a8807599374cac8024fae342ef83,5.00%,
Arbitrum,aUSDC/USDC,0x75ba7f8733c154302cbe2e19fe3ec417e0679833,2.00%,
Optimsim,ECLP-waUSDC-waUSDT,0x1a8F7747cA103d229d7bDFF5f89c176b95Faf301,4.00%,
Arbitrum,aUSDC/aUSDT,0xbb034e493ebf45f874e038ae76576df9cc1137e5,4.00%,37.00%
Mainnet,50wstETH/ACX,0xf7b0751fea697cf1a541a5f57d11058a8fb794ee,7.21%,Revenue 
Mainnet,wstETH-wETH-BPT,0x5c0f23a5c1be65fa710d385814a7fd1bda480b1c,7.95%,45.00%
Mainnet,B-rETH-Stable,0x79ef6103a513951a3b25743db509e267685726b7 ,11.82%,
Mainnet,weETH/rETH,0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,3.81%,
Mainnet,ezETH-wETH,0xa8b309a75f0d64ed632d45a003c68a30e59a1d8b,6.43%,
Mainnet,sdeUSD/deUSD,0xA00DB7d9c465e95e4AA814A9340B9A161364470a ,4.12%,
Mainnet,STG/USDC,0x15C84754c7445D0DF6c613f1490cA07654347c1B,3.66%,45%
,,,,Biz Dev
Mainnet,tETH/wstETH,0xf697535848B535900c76f70F1e36EC3985D27862 ,3.00%,
Mainnet,cbETH/wstETH,0x655A2B240151b4fAb06dfb2B6329eF72647F89dd ,5.00%,
Arbitrum,GHO / USDL,0x2e8A05f0216c6cC43BC123EE7dEf58901d3844D2,3.00%,
Base,cbETH/wstETH,0xBDc908e5dF4A95909DD8cbdD5E88C4078a85f7fC,7.00%,
,,,,
,,,,18%
,,,,TOTAL
,,,,100.00%
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,1200,,
,,100000,,
,,"$16,666.67",,
,,14,,
,,,,
Total USDC,"$100,000",,,
APY needed,6%,,,
Incentives per 1m,60000,,,
Incentives per wk,"$1,154",,,
Incentives per 6 wks,"$4,615",,,
Total TVL to support,22,,,
