,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives
0xe1f2c039a68a216de6dd427be6c60decf405762a00000000000000000000000e,zkevm,B-wstETH-STABLE,588.26,0.00,0.00,0,0,0,0.00,0
0x1d0a8a31cdb04efac3153237526fb15cc65a252000000000000000000000000f,zkevm,B-rETH-STABLE,345.34,0.00,0.00,0,0,0,0.00,0
0xdf725fde6e89981fb30d9bf999841ac2c160b512000000000000000000000010,zkevm,B-wstETH/rETH-STABLE,178.25,0.00,0.00,0,0,0,0.00,0
0x65da876a95cd5b6a5880710628c436409b1b29fa00000000000000000000005b,zkevm,wstETH/ankrETH ,141.28,0.00,0.00,0,0,0,0.00,0
0xb1557cfea06de5a1601a7f0ccf3b515ef431a50d000200000000000000000059,zkevm,ECLP-wETH-rETH,0.00,0.00,0.00,0,0,0,0.00,0
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,2817.61,4387.60,2362.56,6750.16,3560.31,3189.85,0,0
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,1382.77,2153.26,1159.45,3312.71,1747.26,1565.45,0,0
0xee278d943584dd8640eaf4cc6c7a5c80c0073e85000200000000000000000bc7,polygon,ECLP-WMATIC-MATICX,641.59,999.09,537.97,1537.06,810.71,726.35,0,0
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,24458.84,9888.97,5324.83,15475.69,8162.51,7313.18,261.88,0
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,24432.30,9878.24,5319.05,15458.89,8153.65,7305.24,261.59,0
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,24227.24,9795.34,5274.41,15329.14,8085.21,7243.93,259.39,0
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,11312.73,4573.86,2462.85,7157.83,3775.33,3382.50,121.12,0
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,5734.24,2318.42,1248.38,3628.18,1913.65,1714.53,61.39,0
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,5530.12,2235.89,1203.94,3499.05,1845.54,1653.51,59.22,0
0xf01b0684c98cd7ada480bfdf6e43876422fa1fc10002000000000000000005de,mainnet,ECLP-wstETH-wETH,5047.59,2040.80,1098.89,3193.74,1684.51,1509.23,54.05,0
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,4687.00,1895.00,1020.39,2965.58,1564.17,1401.40,50.19,0
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,3112.00,1258.22,677.50,1969.04,1038.55,930.49,33.32,0
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,RDNT-WETH,2803.24,1133.38,610.28,1773.67,935.51,838.16,30.01,0
0x9f9d900462492d4c21e9523ca95a7cd86142f298000200000000000000000462,mainnet,50rETH-50RPL,2610.35,1055.39,568.29,1651.63,871.14,780.49,27.95,0
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,1651.20,667.60,359.48,1044.75,551.04,493.71,17.68,0
0xf7a826d47c8e02835d94fb0aa40f0cc9505cb1340002000000000000000005e0,mainnet,ECLP-wstETH-cbETH,1370.71,554.19,298.41,867.27,0,867.27,14.67,0
0xe7e2c68d3b13d905bbb636709cf4dfd21076b9d20000000000000000000005ca,mainnet,swETH-WETH-BPT,776.73,314.04,169.10,0,0,0,-483.14,0
0xb08885e6026bab4333a80024ec25a1a3e1ff2b8a000200000000000000000445,mainnet,B-staFiETH-WETH-Stable,703.80,284.55,153.22,0,0,0,-437.78,0
0x49cbd67651fbabce12d1df18499896ec87bef46f00000000000000000000064a,mainnet,sDAI/3Pool,407.94,164.93,88.81,0,0,0,-253.75,0
0x5f1f4e50ba51d723f12385a8a9606afc3a0555f5000200000000000000000465,mainnet,50wstETH-50LDO,125.03,50.55,27.22,0,0,0,-77.77,0
