id,address,symbol,amp,poolType,poolTypeVersion,tokensList,totalLiquidity,owner,isBrickable,isPausable,isPausableOrBrickable,network,comment
0x00c2a4be503869fa751c2dbcb7156cc970b5a8da000000000000000000000477,0x00c2a4be503869fa751c2dbcb7156cc970b5a8da,bb-euler-FRAX-bb-euler-USDC-BPT,1500,ComposableStable,3.0,"['0x00c2a4be503869fa751c2dbcb7156cc970b5a8da', '0xd4e7c1f3da1144c9e2cfd1b015eda7652b4a4399', '0xf71d0774b214c4cf51e33eb3d30ef98132e4dbaa']",9.994476890594661429213042305453581,0xba1ba1ba1ba1ba1ba1ba1ba1ba1ba1ba1ba1ba1b,False,False,False,mainnet,pool is already in recovery mode
0x02d928e68d8f10c0358566152677db51e1e2dc8c00000000000000000000051e,0x02d928e68d8f10c0358566152677db51e1e2dc8c,swETH-bb-a-WETH-BPT,500,ComposableStable,3.0,"['0x02d928e68d8f10c0358566152677db51e1e2dc8c', '0x60d604890feaa0b5460b28a424407c24fe89374a', '0xf951e335afb289353dc249e82926178eac7ded78']",4039989.369045729772869280983527723,0xba1ba1ba1ba1ba1ba1ba1ba1ba1ba1ba1ba1ba1b,True,False,True,mainnet,pool is already in recovery mode
0x04248aabca09e9a1a3d5129a7ba05b7f17de768400000000000000000000050e,0x04248aabca09e9a1a3d5129a7ba05b7f17de7684,qETH-bb-a-WETH-BPT,100,ComposableStable,3.0,"['0x04248aabca09e9a1a3d5129a7ba05b7f17de7684', '0x60d604890feaa0b5460b28a424407c24fe89374a', '0x93ef1ea305d11a9b2a3ebb9bb4fcc34695292e7d']",11305.83331478792449414400819447473,0xba1ba1ba1ba1ba1ba1ba1ba1ba1ba1ba1ba1ba1b,True,False,True,mainnet,pool is already in recovery mode
0x05513ca725b6ce035ca2641075474eb469f05f4c00020000000000000000041f,0x05513ca725b6ce035ca2641075474eb469f05f4c,50RBN-50bb-a-USD,,Weighted,1.0,"['0x6123b0049f904d730db3c36a31167d9d4121fa6b', '0xa13a9247ea42d743238089903570127dda72fe44']",0.0000000000002108886209413635610362892193882661,0xdaeada3d210d2f45874724beea03c7d4bbd41674,False,False,False,mainnet,pool doesn't implement recovery mode
0x0a0fb4ff697de5ac5b6770cd8ee1b72af80b57cf000000000000000000000496,0x0a0fb4ff697de5ac5b6770cd8ee1b72af80b57cf,TEST,,YearnLinear,1.0,"['0x0a0fb4ff697de5ac5b6770cd8ee1b72af80b57cf', '0x5c5fcf8fbd4cd563ced27e7d066b88ee20e1867a', '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2']",0,,False,False,False,mainnet,to be put in recovery mode by the dao
0x0afbd58beca09545e4fb67772faf3858e610bcd00000000000000000000004b9,0x0afbd58beca09545e4fb67772faf3858e610bcd0,bb-i-agEUR,,ERC4626Linear,3.0,"['0x0afbd58beca09545e4fb67772faf3858e610bcd0', '0x1a7e4e63778b4f12a199c062f3efdd288afcbce8', '0x6ab3cf01b27e507953365ddf70f97da99471706b']",0,,False,False,False,mainnet,to be put in recovery mode by the dao
0x0d05aac44ac7dd3c7ba5d50be93eb884a057d23400000000000000000000051c,0x0d05aac44ac7dd3c7ba5d50be93eb884a057d234,TEST,,GearboxLinear,2.0,"['0x0d05aac44ac7dd3c7ba5d50be93eb884a057d234', '0xb7a32b67aadb3866cc5c2fabc6c6ab8a9027c3c1', '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2']",0,,False,False,False,mainnet,to be put in recovery mode by emergency multisig
0x0da692ac0611397027c91e559cfd482c4197e4030002000000000000000005c9,0x0da692ac0611397027c91e559cfd482c4197e403,50bb-s-DAI-50bb-a-USDC,,Weighted,4.0,"['0x2b218683178d029bab6c9789b1073aa6c96e5176', '0x82698aecc9e28e9bb27608bd52cf57f704bd1b83']",47.65060731662154107709179349390953,0xba1ba1ba1ba1ba1ba1ba1ba1ba1ba1ba1ba1ba1b,False,False,False,mainnet,to be put in recovery mode by emergency multisig
0x11839d635e2f0270da37e8ef4324d4d5d54329570002000000000000000004d8,0x11839d635e2f0270da37e8ef4324d4d5d5432957,10bb-a-USD-90callFLAIX260323,,Weighted,3.0,"['0xa13a9247ea42d743238089903570127dda72fe44', '0xe752d92aba07902bcbae3e6c89724e40df99b598']",0.02676664304732866175342350282894609,0xba1ba1ba1ba1ba1ba1ba1ba1ba1ba1ba1ba1ba1b,False,False,False,mainnet,to be put in recovery mode by emergency multisig
0x126e7643235ec0ab9c103c507642dc3f4ca23c66000000000000000000000468,0x126e7643235ec0ab9c103c507642dc3f4ca23c66,bb-t-stkAPE,,ERC4626Linear,3.0,"['0x126e7643235ec0ab9c103c507642dc3f4ca23c66', '0x4d224452801aced8b2f0aebe155379bb5d594381', '0x7966c5bae631294d7cffcea5430b78c2f76db6fa']",7823.8991358203752723815,,False,False,False,mainnet,to be put in recovery mode by the dao
