,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,4116.37,6214.12,3346.06,9560.18,5394.72,4165.46,0,0
0xee278d943584dd8640eaf4cc6c7a5c80c0073e85000200000000000000000bc7,polygon,ECLP-WMATIC-MATICX,1173.92,1772.16,954.24,2726.40,1538.48,1187.92,0,0
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,410.75,620.07,333.89,953.96,538.31,415.65,0,0
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,42177.10,18470.05,9945.41,28613.57,16146.36,12467.21,198.11,0
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,40460.07,17718.13,9540.53,27448.71,15489.04,11959.67,190.05,0
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,29443.37,12893.74,6942.78,19974.81,11271.59,8703.22,138.29,0
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,27726.08,12141.71,6537.84,18809.79,10614.18,8195.61,130.24,0
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,19644.80,8602.78,4632.27,13327.31,7520.47,5806.84,92.26,0
0xdedb11a6a23263469567c2881a9b9f8629ee0041000000000000000000000669,mainnet,svETH/wstETH,14803.84,6482.85,3490.76,10043.14,5667.25,4375.89,69.53,0
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,13293.15,5821.29,3134.54,9018.26,5088.92,3929.34,62.43,0
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,10300.24,4510.64,2428.81,6987.83,3943.16,3044.67,48.38,0
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,9208.33,4032.48,2171.34,6247.06,3525.15,2721.91,43.25,0
0x7761b6e0daa04e70637d81f1da7d186c205c2ade00000000000000000000065d,mainnet,rsETH / ETHx,8086.17,3541.07,1906.73,5485.79,3095.58,2390.21,37.99,0
